X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Organization_Formal_Name,Organization_Identifier,Monitoring_Location_Identifier,Monitoring_Location_Name,Monitoring_Location_Type_Name,Monitoring_Location_Description_Text,HUC_Eight_Digit_Code
-83.5657146,43.0186202,"KEARSLEY CREEK AT EAST COURT ST; DAVISON TOWNSHIP, SEC 07",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250001,"KEARSLEY CREEK AT EAST COURT ST; DAVISON TOWNSHIP, SEC 07",River/Stream,"KEARSLEY CREEK AT EAST COURT ST; DAVISON TOWNSHIP, SEC 07",04080204
-83.8398923,42.8061208,"SHIAWASSEE RIVER AT SEYMOUR ROAD; ARGENTINE TOWNSHIP SEC 26",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250029,"SHIAWASSEE RIVER AT SEYMOUR ROAD; ARGENTINE TOWNSHIP SEC 26",River/Stream,"SHIAWASSEE RIVER AT SEYMOUR ROAD; ARGENTINE TOWNSHIP SEC 26",04080203
-83.5565482,43.0238972,"BLACK CR AT IRISH ROAD BRIDGE; DAVISON TOWNSHIP, SECS 7,8",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250030,"BLACK CR AT IRISH ROAD BRIDGE; DAVISON TOWNSHIP, SECS 7,8",River/Stream,"BLACK CR AT IRISH ROAD BRIDGE; DAVISON TOWNSHIP, SECS 7,8",04080204
-83.6776634,43.0308413,"GILKEY CR AT LEWIS ST BRIDGE; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250031,"GILKEY CR AT LEWIS ST BRIDGE; CITY OF FLINT",River/Stream,"GILKEY CR AT LEWIS ST BRIDGE; CITY OF FLINT",04080204
-83.6990521,43.0136194,"SWARTZ CREEK AT KEARSLEY ST BRIDGE; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250032,"SWARTZ CREEK AT KEARSLEY ST BRIDGE; CITY OF FLINT",River/Stream,"SWARTZ CREEK AT KEARSLEY ST BRIDGE; CITY OF FLINT",04080204
-83.813501,43.0505633,"FLINT RIVER AT ELMS ROAD BRIDGE; MOUNT MORRIS TOWNSHIP, SEC",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250033,"FLINT RIVER AT ELMS ROAD BRIDGE; MOUNT MORRIS TOWNSHIP, SEC",River/Stream,"FLINT RIVER AT ELMS ROAD BRIDGE; MOUNT MORRIS TOWNSHIP, SEC 31",04080204
-83.8604465,43.117507,"FLINT RIVER AT MOUNT MORRIS ROAD; FLUSHING TOWNSHIP, SEC 03",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250034,"FLINT RIVER AT MOUNT MORRIS ROAD; FLUSHING TOWNSHIP, SEC 03",River/Stream,"FLINT RIVER AT MOUNT MORRIS ROAD; FLUSHING TOWNSHIP, SEC 03",04080204
-83.6540505,43.076396,"FLINT RIVER AT CARPENTER ROAD BRIDGE; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250098,"FLINT RIVER AT CARPENTER ROAD BRIDGE; CITY OF FLINT",River/Stream,"FLINT RIVER AT CARPENTER ROAD BRIDGE; CITY OF FLINT",04080204
-83.7354424,43.0175084,"FLINT RIVER AT BALLENGER ROAD. BRIDGE; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250099,"FLINT RIVER AT BALLENGER ROAD. BRIDGE; CITY OF FLINT",River/Stream,"FLINT RIVER AT BALLENGER ROAD. BRIDGE; CITY OF FLINT",04080204
-83.7601652,43.0341744,"FLINT RIVER AT MILL ROAD. BRIDGE; FLINT TOWNSHIP, SEC 04",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250100,"FLINT RIVER AT MILL ROAD. BRIDGE; FLINT TOWNSHIP, SEC 04",River/Stream,"FLINT RIVER AT MILL ROAD. BRIDGE; FLINT TOWNSHIP, SEC 04",04080204
-83.7821109,43.0341744,"FLINT RIVER AT END OF FRANCISCO ST; FLINT TOWNSHIP",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250101,"FLINT RIVER AT END OF FRANCISCO ST; FLINT TOWNSHIP",River/Stream,"FLINT RIVER AT END OF FRANCISCO ST; FLINT TOWNSHIP",04080204
-83.8346137,43.0591743,"FLINT RIVER BEHIND 425 MORRISH ROAD; CITY OF FLUSHING",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250102,"FLINT RIVER BEHIND 425 MORRISH ROAD; CITY OF FLUSHING",River/Stream,"FLINT RIVER BEHIND 425 MORRISH ROAD; CITY OF FLUSHING",04080204
-83.8568355,43.0630633,"FLINT RIVER AT MAIN ST. BRIDGE; CITY OF FLUSHING",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250103,"FLINT RIVER AT MAIN ST. BRIDGE; CITY OF FLUSHING",River/Stream,"FLINT RIVER AT MAIN ST. BRIDGE; CITY OF FLUSHING",04080204
-83.8704479,43.0708413,"FLINT RIVER OFF 4414 N. SEYMOUR ROAD; FLUSHING TOWNSHIP",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250104,"FLINT RIVER OFF 4414 N. SEYMOUR ROAD; FLUSHING TOWNSHIP",River/Stream,"FLINT RIVER OFF 4414 N. SEYMOUR ROAD; FLUSHING TOWNSHIP",04080204
-83.8643366,43.0977851,"FLINT RIVER AT 6304 SEYMOUR ROAD; FLUSHING TOWNSHIP, SEC 15",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250105,"FLINT RIVER AT 6304 SEYMOUR ROAD; FLUSHING TOWNSHIP, SEC 15",River/Stream,"FLINT RIVER AT 6304 SEYMOUR ROAD; FLUSHING TOWNSHIP, SEC 15",04080204
-83.8643366,43.1477848,"FLINT RIVER AT EDGE OF DODGE ROAD; MONTROSE TOWNSHIP, SEC 27",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250106,"FLINT RIVER AT EDGE OF DODGE ROAD; MONTROSE TOWNSHIP, SEC 27",River/Stream,"FLINT RIVER AT EDGE OF DODGE ROAD; MONTROSE TOWNSHIP, SEC 27",04080204
-83.878225,43.1761187,"FLINT RIVER AT VIENNA ROAD (M-57); MONTROSE TOWNSHIP, SEC 16",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250107,"FLINT RIVER AT VIENNA ROAD (M-57); MONTROSE TOWNSHIP, SEC 16",River/Stream,"FLINT RIVER AT VIENNA ROAD (M-57); MONTROSE TOWNSHIP, SEC 16",04080204
-83.8651695,43.1911186,"FLINT RIVER AT END FERRAND ROAD; MONTROSE TOWNSHIP, SEC 15",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250108,"FLINT RIVER AT END FERRAND ROAD; MONTROSE TOWNSHIP, SEC 15",River/Stream,"FLINT RIVER AT END FERRAND ROAD; MONTROSE TOWNSHIP, SEC 15",04080204
-83.8823921,43.2033405,"FLINT RIVER AT KEE-WAH-DIN FARMS; MONTROSE TOWNSHIP, SEC 04",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250109,"FLINT RIVER AT KEE-WAH-DIN FARMS; MONTROSE TOWNSHIP, SEC 04",River/Stream,"FLINT RIVER AT KEE-WAH-DIN FARMS; MONTROSE TOWNSHIP, SEC 04",04080204
-83.7087749,42.8063977,"SHIAWASSEE RIVER AT NORTH ROAD.; CITY OF FENTON",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250110,"SHIAWASSEE RIVER AT NORTH ROAD.; CITY OF FENTON",River/Stream,"SHIAWASSEE RIVER AT NORTH ROAD.; CITY OF FENTON",04080203
-83.7271095,42.8163987,"SHIAWASSEE RIVER AT TORREY ROAD.; FENTON TOWNSHIP., SEC 22",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250111,"SHIAWASSEE RIVER AT TORREY ROAD.; FENTON TOWNSHIP., SEC 22",River/Stream,"SHIAWASSEE RIVER AT TORREY ROAD.; FENTON TOWNSHIP., SEC 22",04080203
