"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","County"
"1","USGS-MI","USGS Michigan Water Science Center","nwismi.01.96200033","Sample-Routine","Water","Surface Water","1961-11-27","","","","","",NA,"","",NA,"",NA,"","","","USGS-04143950","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",18,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"2","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95900003","Sample-Routine","Water","Surface Water","1959-04-01","","","","","",NA,"","",NA,"",NA,"","","","USGS-04143950","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",9,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"3","USGS-MI","USGS Michigan Water Science Center","nwismi.01.96200034","Sample-Routine","Water","Surface Water","1962-02-02","","","","","",NA,"","",NA,"",NA,"","","","USGS-04143950","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",19,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"4","USGS-MI","USGS Michigan Water Science Center","nwismi.01.96100031","Sample-Routine","Water","Surface Water","1961-08-22","","","","","",NA,"","",NA,"",NA,"","","","USGS-04143950","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",16,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"5","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400004","Sample-Routine","Water","Surface Water","1953-12-15","","","","","",NA,"","",NA,"",NA,"","","","USGS-04147500","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",16,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"6","USGS-MI","USGS Michigan Water Science Center","nwismi.01.96700193","Sample-Routine","Water","Surface Water","1967-04-19","","","","","",NA,"","",NA,"",NA,"","","","USGS-04147500","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",17,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"7","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95900005","Sample-Routine","Water","Surface Water","1959-04-02","","","","","",NA,"","",NA,"",NA,"","","","USGS-04147500","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",7.5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"8","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95700001","Sample-Routine","Water","Surface Water","1957-06-03","","","","","",NA,"","",NA,"",NA,"","","","USGS-04147500","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",11,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"9","USGS-MI","USGS Michigan Water Science Center","nwismi.01.96700194","Sample-Routine","Water","Surface Water","1967-08-07","","","","","",NA,"","",NA,"",NA,"","","","USGS-04147500","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",20,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"10","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400005","Sample-Routine","Water","Surface Water","1954-03-27","","","","","",NA,"","",NA,"",NA,"","","","USGS-04147500","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",8.5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
