ActivityStartDate,MonitoringLocationIdentifier,CharacteristicName,ResultStatusIdentifier,ResultValueTypeName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ActivityMediaSubdivisionName,ActivityTypeCode,Lat,Long
2009-07-15,SAGIN01_WQX-ROLLAND RD,Escherichia coli,Final,Actual,120,#/100ml,,Sample-Routine,-85.0254961,43.6573458
2009-06-24,BMIC_WQX-SPECLK,Escherichia coli,Final,Actual,1,cfu/100ml,,Quality Control Sample-Field Replicate,-84.630318,46.460747
2009-06-24,BMIC_WQX-NPOND,Escherichia coli,Final,Actual,1,cfu/100ml,,Quality Control Sample-Field Replicate,-84.61256,46.46154
2009-07-06,21MICH_WQX-740403,Escherichia coli,Final,Calculated,8.28,cfu/100ml,Surface Water,Sample-Routine,-82.4946,42.7303
2009-07-13,21MICH_WQX-740403,Escherichia coli,Final,Actual,4,cfu/100ml,Surface Water,Sample-Routine,-82.4946,42.7303
2009-08-04,21MICH_WQX-010078,Escherichia coli,Final,Calculated,116.18,cfu/100ml,Surface Water,Sample-Routine,-83.29707,44.81367
2009-07-13,21MICH_WQX-740403,Escherichia coli,Final,Actual,4,cfu/100ml,Surface Water,Sample-Routine,-82.4946,42.7303
2009-08-12,21MICH_WQX-740413,Escherichia coli,Final,Calculated,37.29,cfu/100ml,Surface Water,Sample-Routine,-82.4623,43.0673
2009-08-18,21MICH_WQX-740413,Escherichia coli,Final,Actual,3,cfu/100ml,Surface Water,Sample-Routine,-82.4623,43.0673
2009-06-01,21MICH_WQX-740406,Escherichia coli,Final,Calculated,7,cfu/100ml,Surface Water,Sample-Routine,-82.4662,43.0845
2009-06-29,21MICH_WQX-710093,Escherichia coli,Final,Calculated,14.5,cfu/100ml,Surface Water,Sample-Routine,-83.87843,45.4651
2009-09-01,21MICH_WQX-160194,Escherichia coli,Final,Calculated,16.6,cfu/100ml,Surface Water,Sample-Routine,-84.42046,45.64902
2009-06-30,21MICH_WQX-160195,Escherichia coli,Final,Calculated,22.6,cfu/100ml,Surface Water,Sample-Routine,-84.46765,45.65671
2009-07-06,21MICH_WQX-700593,Escherichia coli,Final,Actual,3.1,cfu/100ml,Surface Water,Sample-Routine,-86.21393,42.88203
2009-08-04,21MICH_WQX-700593,Escherichia coli,Final,Actual,8.3,cfu/100ml,Surface Water,Sample-Routine,-86.21393,42.88203
2009-08-25,21MICH_WQX-160194,Escherichia coli,Final,Calculated,4.1,cfu/100ml,Surface Water,Sample-Routine,-84.42046,45.64902
2009-07-27,21MICH_WQX-740406,Escherichia coli,Final,Actual,2,cfu/100ml,Surface Water,Sample-Routine,-82.4662,43.0845
2009-08-25,21MICH_WQX-700593,Escherichia coli,Final,Actual,53.8,cfu/100ml,Surface Water,Sample-Routine,-86.21393,42.88203
2009-06-03,21MICH_WQX-700593,Escherichia coli,Final,Actual,2,cfu/100ml,Surface Water,Sample-Routine,-86.21393,42.88203
2009-07-06,21MICH_WQX-040141,Escherichia coli,Final,Calculated,9.5,cfu/100ml,Surface Water,Sample-Routine,-83.44711,45.04408
2009-05-18,21MICH_WQX-500476,Escherichia coli,Final,Actual,29,cfu/100ml,Surface Water,Sample-Routine,-82.88147,42.47332
2009-06-15,21MICH_WQX-500476,Escherichia coli,Final,Actual,1120,cfu/100ml,Surface Water,Sample-Routine,-82.88147,42.47332
2009-09-21,21MICH_WQX-500476,Escherichia coli,Final,Actual,2419,cfu/100ml,Surface Water,Sample-Routine,-82.88147,42.47332
2009-07-21,21MICH_WQX-010100,Escherichia coli,Final,Actual,29.9,cfu/100ml,Surface Water,Sample-Routine,-83.27104,44.71298
2009-07-28,21MICH_WQX-010083,Escherichia coli,Final,Actual,17.1,cfu/100ml,Surface Water,Sample-Routine,-83.32111,44.85348
2009-05-06,21MICH_WQX-500476,Escherichia coli,Final,Calculated,271.77,cfu/100ml,Surface Water,Sample-Routine,-82.88147,42.47332
2009-06-01,21MICH_WQX-500476,Escherichia coli,Final,Calculated,156.45,cfu/100ml,Surface Water,Sample-Routine,-82.88147,42.47332
