"","MonitoringLocationIdentifier","Avg","Max","LatestSample","totalSamples"
"1","USGS-04143950",15.5,19,1962-02-02,4
"2","USGS-04147500",13.7142857142857,20,1967-08-07,7
"3","USGS-04147990",6.4,6.8,1954-03-26,2
"4","USGS-04148139",40.5,70,1954-03-26,2
"5","USGS-04148140",26,30,1967-08-07,2
"6","USGS-04148142",13.6666666666667,16,1959-04-02,3
"7","USGS-0414826544",4.79285714285714,10.7,2013-06-13,14
"8","USGS-0414826545",11.1549019607843,31.7,2013-12-22,51
"9","USGS-041482663",61.8214285714286,185,2015-10-28,126
"10","USGS-04148270",37.5,64,1954-03-26,2
"11","USGS-04148300",17.6666666666667,22,1959-04-01,3
"12","USGS-04148450",16.6666666666667,26,1959-04-01,3
"13","USGS-04148500",36,94,1967-08-06,5
"14","USGS-04148545",39,59,1959-04-02,3
"15","USGS-04159140",44,62,1967-08-01,2
"16","USGS-04159145",48.5,67,1967-08-01,2
"17","USGS-04159150",71,105,1967-08-01,2
"18","USGS-04159170",140,150,1967-08-01,2
"19","USGS-04159180",85,109,1967-08-01,2
"20","USGS-04159190",46,58,1967-08-01,2
"21","USGS-04159200",23.5,31,1967-08-01,2
"22","USGS-04159202",24.5,27,1967-08-01,2
"23","USGS-04159206",28.5,29,1967-08-01,2
"24","USGS-04159222",16,19,1967-08-01,2
"25","USGS-04159225",16.4,32,1967-08-01,2
"26","USGS-04159230",42.5,48,1967-08-01,2
"27","USGS-04159250",57,70,1967-08-01,2
"28","USGS-04159270",10,10,1967-08-01,2
"29","USGS-04159300",83.6666666666667,120,1967-08-09,3
"30","USGS-04159445",21.5,25,1967-08-01,2
"31","USGS-04159470",23.5,27,1967-08-01,2
"32","USGS-04159480",23.5,26,1967-08-01,2
"33","USGS-04165700",8.12817869415808,18,1986-09-17,291
"34","USGS-04166350",88.5,97,1968-04-23,2
"35","USGS-04166400",118.5,122,1968-04-22,2
"36","USGS-04166420",120.5,127,1968-04-22,2
"37","USGS-04166450",122,125,1968-04-23,2
"38","USGS-04166500",104.25,126,1967-08-23,4
"39","USGS-04166700",69,70,1968-04-23,2
"40","USGS-04166750",67,93,1968-04-23,2
"41","USGS-04166800",211.5,292,1968-04-23,2
"42","USGS-04166900",153.5,185,1968-04-23,2
"43","USGS-04167000",101.25,130,1968-04-23,4
"44","USGS-04167200",116,118,1968-04-23,2
"45","USGS-04167300",71,93,1968-04-23,2
"46","USGS-04167500",108,108,1968-04-23,1
"47","USGS-04167600",68.5,70,1968-04-23,2
"48","USGS-04168000",84,104,1968-04-23,4
"49","USGS-04168576",125,125,1971-08-31,1
"50","USGS-04168585",280,330,1973-07-19,2
"51","USGS-04168594",330,330,1973-07-19,1
"52","USGS-04168595",126,126,1971-08-31,1
"53","USGS-04168640",16.8484848484848,27,1972-06-26,33
"54","USGS-04168655",210,210,1971-08-31,1
"55","USGS-04168662",138,170,1973-07-19,2
"56","USGS-04168668",227,227,1971-08-31,1
"57","USGS-04168675",62,62,1971-08-31,1
"58","USGS-04168682",201,280,1973-07-19,2
"59","USGS-04175010",45,48,1971-08-09,2
"60","USGS-04175020",72,83,1971-08-09,2
"61","USGS-04175100",74.5,79,1990-08-08,2
"62","USGS-04175140",46,61,1972-05-24,2
"63","USGS-04175195",70,70,1972-05-24,1
"64","USGS-421252083273506",89,89,2002-04-18,1
"65","USGS-421253083263806",89,89,2002-04-18,1
"66","USGS-421257083272406",90,90,2002-04-18,1
"67","USGS-430001083401006",166,166,2003-04-23,1
"68","USGS-430645083274606",48,48,2003-04-14,1
