"","MonitoringLocationIdentifier","Avg","Max","LatestSample","totalSamples","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","Organization_Formal_Name","Organization_Identifier","Monitoring_Location_Name","Monitoring_Location_Type_Name","Monitoring_Location_Description_Text","HUC_Eight_Digit_Code"
"1","USGS-04001000",93.6701030927835,1400,1996-01-30,97,-89.1459197,47.9212792,"WASHINGTON CREEK AT WINDIGO, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","WASHINGTON CREEK AT WINDIGO, MI","Stream","",4020300
"2","USGS-04032919",16.5,50,1998-06-16,4,-89.1543067,46.291615,"BONIFAS CREEK AT WATERSMEET, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","BONIFAS CREEK AT WATERSMEET, MI","Stream","",4020102
"3","USGS-04040000",40.8602941176471,500,2011-09-13,136,-89.207086,46.7207742,"ONTONAGON RIVER NEAR ROCKLAND, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","ONTONAGON RIVER NEAR ROCKLAND, MI","Stream","",4020102
"4","USGS-04043004",36.0526315789474,460,1986-07-17,57,-88.5226259,46.9743735,"STURGEON R NEAR CHASSELL, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","STURGEON R NEAR CHASSELL, MI","Stream","",4020104
"5","USGS-04043018",27834,1e+05,1994-09-26,5,-88.5723452,47.1221493,"QUINCY AND LAKE AVE STORM SEWER AT HOUGHTON, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Wisconsin Water Science Center","USGS-WI","QUINCY AND LAKE AVE STORM SEWER AT HOUGHTON, MI","Facility: Storm sewer","",4020103
"6","USGS-04043060",56,56,1991-10-31,1,-88.4779054,46.8771527,"KELSEY CREEK AT US-HWY-41 NEAR KEWEENAW BAY, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","KELSEY CREEK AT US-HWY-41 NEAR KEWEENAW BAY, MI","Stream","",4020105
"7","USGS-04043064",13,13,1991-10-31,1,-88.4895738,46.8185428,"ASSININS WETLAND NORTH INLET AT ASSININS, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","ASSININS WETLAND NORTH INLET AT ASSININS, MI","Stream","",4020105
"8","USGS-04043065",1,1,1991-10-31,1,-88.4834622,46.8354868,"LITTLE CARP RIVER NR KEWEENAW BAY, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","LITTLE CARP RIVER NR KEWEENAW BAY, MI","Stream","",4020105
"9","USGS-04043068",92,180,1991-10-31,2,-88.4842958,46.8240982,"ASSININS WETLAND OUTLET AT ASSININS, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","ASSININS WETLAND OUTLET AT ASSININS, MI","Stream","",4020105
"10","USGS-04043069",43,43,1991-10-30,1,-88.4787412,46.7857655,"TANGEN CREEK AT BARAGA, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","TANGEN CREEK AT BARAGA, MI","Stream","",4020105
"11","USGS-04043070",32,32,1991-10-30,1,-88.5059646,46.7549329,"HAZEL CREEK NEAR BARAGA, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","HAZEL CREEK NEAR BARAGA, MI","Stream","",4020105
"12","USGS-04043080",10,10,1991-10-29,1,-88.5079093,46.7465998,"SIX MILE CREEK NEAR BARAGA, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","SIX MILE CREEK NEAR BARAGA, MI","Stream","",4020105
"13","USGS-04043085",7,7,1991-10-29,1,-88.4979092,46.7457664,"MENGE CREEK AT MENGE CREEK ROAD NEAR BARAGA, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","MENGE CREEK AT MENGE CREEK ROAD NEAR BARAGA, MI","Stream","",4020105
"14","USGS-04043090",4,4,1991-10-29,1,-88.4895758,46.7457663,"BOYERS CREEK AT MENGE CREEK ROAD NEAR BARAGA, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","BOYERS CREEK AT MENGE CREEK ROAD NEAR BARAGA, MI","Stream","",4020105
"15","USGS-04043100",10,10,1991-10-30,1,-88.452353,46.7515992,"FALLS RIVER AT US-HWY-41 AT L'ANSE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","FALLS RIVER AT US-HWY-41 AT L'ANSE, MI","Stream","",4020105
"16","USGS-04043105",7,7,1991-10-30,1,-88.4481861,46.7588212,"LINDEN CREEK AT L'ANSE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","LINDEN CREEK AT L'ANSE, MI","Stream","",4020105
"17","USGS-04043120",3,3,1991-10-30,1,-88.4104064,46.8146532,"LITTLE SILVER CREEK AT PEQUAMING RD NR L'ANSE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","LITTLE SILVER CREEK AT PEQUAMING RD NR L'ANSE, MI","Stream","",4020105
"18","USGS-040440492",400,400,1994-06-11,1,-87.3951391,46.5510439,"HIGH DENSITY STREETS (THIRD AVE) AT MARQUETTE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Wisconsin Water Science Center","USGS-WI","HIGH DENSITY STREETS (THIRD AVE) AT MARQUETTE, MI","Stream","",4020105
"19","USGS-040440494",105,200,1994-06-11,2,-87.3981946,46.5521549,"LOW DENSITY STREETS AT MARQUETTE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Wisconsin Water Science Center","USGS-WI","LOW DENSITY STREETS AT MARQUETTE, MI","Stream","",4020105
"20","USGS-040440499",855,1700,1994-06-11,2,-87.3951391,46.5510439,"COMMERCIAL PARKING LOTS AT MARQUETTE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Wisconsin Water Science Center","USGS-WI","COMMERCIAL PARKING LOTS AT MARQUETTE, MI","Facility: Pavement","",4020105
"21","USGS-04044050",16500,42000,1994-05-14,3,-87.3945836,46.5546548,"COLLEGE AVE & 3RD ST STORM SEWER @ MARQUETTE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Wisconsin Water Science Center","USGS-WI","COLLEGE AVE & 3RD ST STORM SEWER @ MARQUETTE, MI","Facility: Storm sewer","",4020105
"22","USGS-04044367",1510,2600,1993-10-28,2,-87.611525,46.5135459,"MAAS ST STORMSWR NEAR KEEWAYDIN ST AT NEGAUNEE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Wisconsin Water Science Center","USGS-WI","MAAS ST STORMSWR NEAR KEEWAYDIN ST AT NEGAUNEE, MI","Stream","",4020105
"23","USGS-04044744",7.5,10,1980-05-05,2,-86.6243258,46.4243912,"MUNISING FALLS CREEK AT MUNISING, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","MUNISING FALLS CREEK AT MUNISING, MI","Stream","",4020201
"24","USGS-04044750",8,10,1981-10-22,3,-86.5232166,46.4199515,"MINERS RIVER NR VAN MEER, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","MINERS RIVER NR VAN MEER, MI","Stream","",4020201
"25","USGS-04044755",6.33333333333333,11,1981-10-22,3,-86.5407188,46.4882817,"MINERS RIVER NR MUNISING, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","MINERS RIVER NR MUNISING, MI","Stream","",4020201
"26","USGS-04044762",12,14,1980-05-06,2,-86.4782204,46.5185622,"MOSQUITO RIVER NEAR MELSTRAND, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","MOSQUITO RIVER NEAR MELSTRAND, MI","Stream","",4020201
