"","MonitoringLocationIdentifier","Avg","Max","LatestSample","totalSamples","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","Organization_Formal_Name","Organization_Identifier","Monitoring_Location_Name","Monitoring_Location_Type_Name","Monitoring_Location_Description_Text","HUC_Eight_Digit_Code"
"1","USGS-04001000",97.6309523809524,2500,1996-01-30,84,-89.1459197,47.9212792,"WASHINGTON CREEK AT WINDIGO, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","WASHINGTON CREEK AT WINDIGO, MI","Stream","",4020300
"2","USGS-04040000",179.93984962406,3800,1995-08-29,133,-89.207086,46.7207742,"ONTONAGON RIVER NEAR ROCKLAND, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","ONTONAGON RIVER NEAR ROCKLAND, MI","Stream","",4020102
"3","USGS-04043004",96.4642857142857,1400,1986-07-17,56,-88.5226259,46.9743735,"STURGEON R NEAR CHASSELL, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","STURGEON R NEAR CHASSELL, MI","Stream","",4020104
"4","USGS-04043060",7,7,1991-10-31,1,-88.4779054,46.8771527,"KELSEY CREEK AT US-HWY-41 NEAR KEWEENAW BAY, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","KELSEY CREEK AT US-HWY-41 NEAR KEWEENAW BAY, MI","Stream","",4020105
"5","USGS-04043064",190,190,1991-10-31,1,-88.4895738,46.8185428,"ASSININS WETLAND NORTH INLET AT ASSININS, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","ASSININS WETLAND NORTH INLET AT ASSININS, MI","Stream","",4020105
"6","USGS-04043065",7,7,1991-10-31,1,-88.4834622,46.8354868,"LITTLE CARP RIVER NR KEWEENAW BAY, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","LITTLE CARP RIVER NR KEWEENAW BAY, MI","Stream","",4020105
"7","USGS-04043068",36.5,42,1991-10-31,2,-88.4842958,46.8240982,"ASSININS WETLAND OUTLET AT ASSININS, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","ASSININS WETLAND OUTLET AT ASSININS, MI","Stream","",4020105
"8","USGS-04043069",52,52,1991-10-30,1,-88.4787412,46.7857655,"TANGEN CREEK AT BARAGA, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","TANGEN CREEK AT BARAGA, MI","Stream","",4020105
"9","USGS-04043070",29,29,1991-10-30,1,-88.5059646,46.7549329,"HAZEL CREEK NEAR BARAGA, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","HAZEL CREEK NEAR BARAGA, MI","Stream","",4020105
"10","USGS-04043080",36,36,1991-10-29,1,-88.5079093,46.7465998,"SIX MILE CREEK NEAR BARAGA, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","SIX MILE CREEK NEAR BARAGA, MI","Stream","",4020105
"11","USGS-04043085",36,36,1991-10-29,1,-88.4979092,46.7457664,"MENGE CREEK AT MENGE CREEK ROAD NEAR BARAGA, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","MENGE CREEK AT MENGE CREEK ROAD NEAR BARAGA, MI","Stream","",4020105
"12","USGS-04043090",43,43,1991-10-29,1,-88.4895758,46.7457663,"BOYERS CREEK AT MENGE CREEK ROAD NEAR BARAGA, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","BOYERS CREEK AT MENGE CREEK ROAD NEAR BARAGA, MI","Stream","",4020105
"13","USGS-04043100",80,80,1991-10-30,1,-88.452353,46.7515992,"FALLS RIVER AT US-HWY-41 AT L'ANSE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","FALLS RIVER AT US-HWY-41 AT L'ANSE, MI","Stream","",4020105
