X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Organization_Formal_Name,Organization_Identifier,Monitoring_Location_Identifier,Monitoring_Location_Name,Monitoring_Location_Type_Name,Monitoring_Location_Description_Text,HUC_Eight_Digit_Code
-82.5773425,43.5183003,"CHERRY CREEK AT M-25; T13N R17E S33",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-320201,"CHERRY CREEK AT M-25; T13N R17E S33",River/Stream,"CHERRY CREEK AT M-25; T13N R17E S33",04080104
-82.601533,43.6160999,"WHITE ROCK CREEK AT M-25; T15N R15E S26",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-320221,"WHITE ROCK CREEK AT M-25; T15N R15E S26",River/Stream,"WHITE ROCK CREEK AT M-25; T15N R15E S26",04080104
-82.657645,43.6075,"WHITE ROCK CREEK AT SCHOCK ROAD; T15N R15E S33",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-320222,"WHITE ROCK CREEK AT SCHOCK ROAD; T15N R15E S33",River/Stream,"WHITE ROCK CREEK AT SCHOCK ROAD; T15N R15E S33",04080104
-82.9151345,43.3519506,"CASS RIVER AT STUDOR ROAD; T11N R05E S17",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-730088,"CASS RIVER AT STUDOR ROAD; T11N R05E S17",River/Stream,"CASS RIVER AT STUDOR ROAD; T11N R05E S17",04080205
-82.602902,43.6622267,"LAKE HURON IN FORESTVILLE; DELAWARE TOWNSHIP, SEC 17",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-760001,"LAKE HURON IN FORESTVILLE; DELAWARE TOWNSHIP, SEC 17",Lake,"LAKE HURON IN FORESTVILLE; DELAWARE TOWNSHIP, SEC 17",04080300
-82.600124,43.6308368,"LAKE HURON NEAR FORESTER; FORESTER TOWNSHIP, SEC 03",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-760002,"LAKE HURON NEAR FORESTER; FORESTER TOWNSHIP, SEC 03",Lake,"LAKE HURON NEAR FORESTER; FORESTER TOWNSHIP, SEC 03",04080300
-82.5956809,43.6147259,"LAKE HURON NEAR FORESTER; FORESTER TOWNSHIP, SEC 03",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-760003,"LAKE HURON NEAR FORESTER; FORESTER TOWNSHIP, SEC 03",Lake,"LAKE HURON NEAR FORESTER; FORESTER TOWNSHIP, SEC 03",04080300
-82.5381783,43.4341707,"LAKE HURON, IN PORT SANILAC; SANILAC TOWNSHIP, SEC 2",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-760004,"LAKE HURON, IN PORT SANILAC; SANILAC TOWNSHIP, SEC 2",Lake,"LAKE HURON, IN PORT SANILAC; SANILAC TOWNSHIP, SEC 2",04080300
-82.5373443,43.4327817,"LAKE HURON, IN PORT SANILAC; SANILAC TOWNSHIP, SEC 2",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-760005,"LAKE HURON, IN PORT SANILAC; SANILAC TOWNSHIP, SEC 2",Lake,"LAKE HURON, IN PORT SANILAC; SANILAC TOWNSHIP, SEC 2",04080300
-82.5359563,43.4027819,"LAKE HURON, NEAR PORT SANILAC; SANILAC TOWNSHIP, SEC 11",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-760006,"LAKE HURON, NEAR PORT SANILAC; SANILAC TOWNSHIP, SEC 11",Lake,"LAKE HURON, NEAR PORT SANILAC; SANILAC TOWNSHIP, SEC 11",04080300
