OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-SPECLK609Sb,Quality Control Sample-Field Replicate,Water,,2009-06-24,10:49:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-SPECLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,547.5,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2009-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-NPOND609Sb,Quality Control Sample-Field Replicate,Water,,2009-06-24,10:32:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-NPOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,686.7,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2009-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-GUM_208210bS,Sample-Routine,Water,,2010-08-02,14:40:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-GUM_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,Not Reported,,Total Coliform,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2010-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-BP_1090710S,Sample-Routine,Water,,2010-09-07,09:00:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-BP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,1553.1,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2010-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-GUM_1081109S,Sample-Routine,Water,,2010-08-11,09:00:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-GUM_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,666.4,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2010-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-BP_3081810S,Sample-Routine,Water,,2010-08-18,08:00:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-BP_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,517.2,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2010-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-GUM_1081810S,Sample-Routine,Water,,2010-08-18,08:30:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-GUM_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,387.3,cfu/100ml,,Final,,Actual,,,,,,,,,,"Geometric Mean = 141.5 Total coliform, 10.0 E. coli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2010-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-GUM_108210dS,Sample-Routine,Water,,2010-08-02,16:40:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-GUM_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,980.4,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2010-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-BP_209110gS,Sample-Routine,Water,,2010-09-01,19:10:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-BP_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,Present Above Quantification Limit,,Total Coliform,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2010-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-GUM_309110fS,Sample-Routine,Water,,2010-09-01,15:20:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-GUM_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,1670.8,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2010-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
