X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Organization_Formal_Name,Organization_Identifier,Monitoring_Location_Identifier,Monitoring_Location_Name,Monitoring_Location_Type_Name,Monitoring_Location_Description_Text,HUC_Eight_Digit_Code
-83.2140376,42.0452915,"HURON RIVER AT RIVER ROAD NEAR MOUTH; BERLIN TOWNSHIP, SEC 2",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-580047,"HURON RIVER AT RIVER ROAD NEAR MOUTH; BERLIN TOWNSHIP, SEC 2",River/Stream,"HURON RIVER AT RIVER ROAD NEAR MOUTH; BERLIN TOWNSHIP, SEC 23",04090005
-83.3282076,42.4416777,"UPPER ROUGE RIVER AT 8 MI ROAD; FRMNGTN HLS; T1NR9ES36",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-631001,"UPPER ROUGE RIVER AT 8 MI ROAD; FRMNGTN HLS; T1NR9ES36",River/Stream,"UPPER ROUGE RIVER AT 8 MI ROAD; FRMNGTN HLS; T1NR9ES36",04090004
-82.9106936,42.3791777,"LAKE ST CLAIR, IN GROSSE PTE PARK; T1S, R13E",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-820001,"LAKE ST CLAIR, IN GROSSE PTE PARK; T1S, R13E",Lake,"LAKE ST CLAIR, IN GROSSE PTE PARK; T1S, R13E",04090002
-82.9176379,42.3750127,"LAKE ST CLAIR, IN GROSSE PTE PARK; T1S, R13E",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-820002,"LAKE ST CLAIR, IN GROSSE PTE PARK; T1S, R13E",Lake,"LAKE ST CLAIR, IN GROSSE PTE PARK; T1S, R13E",04090002
-82.9812521,42.343068,"DETROIT RIVER IN DETROIT; T2S, R12E",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-820003,"DETROIT RIVER IN DETROIT; T2S, R12E",River/Stream,"DETROIT RIVER IN DETROIT; T2S, R12E",04090004
-82.9843082,42.341956,"DETROIT RIVER IN DETROIT; T2S, R12E",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-820004,"DETROIT RIVER IN DETROIT; T2S, R12E",River/Stream,"DETROIT RIVER IN DETROIT; T2S, R12E",04090004
-82.9873633,42.341123,"DETROIT RIVER IN DETROIT; T2S, R12E",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-820005,"DETROIT RIVER IN DETROIT; T2S, R12E",River/Stream,"DETROIT RIVER IN DETROIT; T2S, R12E",04090004
-82.9906964,42.3405671,"DETROIT RIVER IN DETROIT; T2S, R12E",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-820006,"DETROIT RIVER IN DETROIT; T2S, R12E",River/Stream,"DETROIT RIVER IN DETROIT; T2S, R12E",04090004
-83.148481,42.235012,"ECORSE RIVER AT WEST JEFFERSON AVE; CITY OF ECORSE",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-820008,"ECORSE RIVER AT WEST JEFFERSON AVE; CITY OF ECORSE",River/Stream,"ECORSE RIVER AT WEST JEFFERSON AVE; CITY OF ECORSE",04090004
-83.2948742,42.0939033,"HURON RIVER AT US-24 BRIDGE; CITY OF FLAT ROCK",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-820010,"HURON RIVER AT US-24 BRIDGE; CITY OF FLAT ROCK",River/Stream,"HURON RIVER AT US-24 BRIDGE; CITY OF FLAT ROCK",04090005
