OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
21MICH_WQX,Michigan DEQ,21MICH_WQX-250486_9/2/2010,Sample-Routine,Water,,2010-09-02,10:00:00,EDT,,,,,,,,,,,WCMP,,21MICH_WQX-250486,,,,,MDEQ_SCP,MDEQQAPP,Surface Water Sample Collection QAPP,Van Dorn Bottle,,Chloride,Total,62,mg/l,,Final,,Actual,,,,,,,,,,,,,325.1,USEPA,Chloride by Colorimetric Analysis I,https://www.nemi.gov/methods/method_summary/5771/,,,,,,,,STORET
21MICH_WQX,Michigan DEQ,21MICH_WQX-250119_11/11/2010,Sample-Routine,Water,,2010-11-11,10:00:00,EDT,,,,,,,,,,,WCMP,,21MICH_WQX-250119,,,,,MDEQ_SCP,MDEQQAPP,Surface Water Sample Collection QAPP,Van Dorn Bottle,,Chloride,Total,94,mg/l,,Final,,Actual,,,,,,,,,,,,,325.1,USEPA,Chloride by Colorimetric Analysis I,https://www.nemi.gov/methods/method_summary/5771/,,,,,,,,STORET
21MICH_WQX,Michigan DEQ,21MICH_WQX-250119_7/20/2010,Sample-Routine,Water,,2010-07-20,10:00:00,EDT,,,,,,,,,,,WCMP,,21MICH_WQX-250119,,,,,MDEQ_SCP,MDEQQAPP,Surface Water Sample Collection QAPP,Van Dorn Bottle,,Chloride,Total,92,mg/l,,Final,,Actual,,,,,,,,,,,,,325.1,USEPA,Chloride by Colorimetric Analysis I,https://www.nemi.gov/methods/method_summary/5771/,,,,,,,,STORET
21MICH_WQX,Michigan DEQ,21MICH_WQX-250486_5/20/2010,Sample-Routine,Water,,2010-05-20,10:00:00,EDT,,,,,,,,,,,WCMP,,21MICH_WQX-250486,,,,,MDEQ_SCP,MDEQQAPP,Surface Water Sample Collection QAPP,Van Dorn Bottle,,Chloride,Total,62,mg/l,,Final,,Actual,,,,,,,,,,,,,325.1,USEPA,Chloride by Colorimetric Analysis I,https://www.nemi.gov/methods/method_summary/5771/,,,,,,,,STORET
21MICH_WQX,Michigan DEQ,21MICH_WQX-250119_5/20/2010,Sample-Routine,Water,,2010-05-20,10:00:00,EDT,,,,,,,,,,,WCMP,,21MICH_WQX-250119,,,,,MDEQ_SCP,MDEQQAPP,Surface Water Sample Collection QAPP,Van Dorn Bottle,,Chloride,Total,74,mg/l,,Final,,Actual,,,,,,,,,,,,,325.1,USEPA,Chloride by Colorimetric Analysis I,https://www.nemi.gov/methods/method_summary/5771/,,,,,,,,STORET
21MICH_WQX,Michigan DEQ,21MICH_WQX-250486_7/20/2010,Sample-Routine,Water,,2010-07-20,10:00:00,EDT,,,,,,,,,,,WCMP,,21MICH_WQX-250486,,,,,MDEQ_SCP,MDEQQAPP,Surface Water Sample Collection QAPP,Van Dorn Bottle,,Chloride,Total,71,mg/l,,Final,,Actual,,,,,,,,,,,,,325.1,USEPA,Chloride by Colorimetric Analysis I,https://www.nemi.gov/methods/method_summary/5771/,,,,,,,,STORET
21MICH_WQX,Michigan DEQ,21MICH_WQX-250486_11/11/2010,Sample-Routine,Water,,2010-11-11,10:00:00,EDT,,,,,,,,,,,WCMP,,21MICH_WQX-250486,,,,,MDEQ_SCP,MDEQQAPP,Surface Water Sample Collection QAPP,Van Dorn Bottle,,Chloride,Total,86,mg/l,,Final,,Actual,,,,,,,,,,,,,325.1,USEPA,Chloride by Colorimetric Analysis I,https://www.nemi.gov/methods/method_summary/5771/,,,,,,,,STORET
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98700247,Sample-Routine,Water,Groundwater,1987-08-19,11:40:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-425642083524601,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,3700,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,CL031,USGS,"Chloride, wf, ASF thiocyanate","USGS TWRI 5-A1/1989, p 151",,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98700121,Sample-Routine,Water,Groundwater,1987-07-07,12:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-430250083351001,,Parma Sandstone,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,260,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,ADF02,USGS,"Chloride, wf, AD thiocyanate","USGS TWRI 5-A1/1989, p 155",,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.96200033,Sample-Routine,Water,Surface Water,1961-11-27,,,,,,,,,,,,,,,USGS-04143950,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,18.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
