OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MI,USGS Michigan Water Science Center,USGS-04143950,"SHIAWASSEE RIVER AT BIRD ROAD NEAR ARGENTINE, MI",Stream,,04080203,,,,,42.8089192,-83.8752334,24000,1,minutes,Interpolated from map,NAD83,,,,,,,US,26,049,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04147500,"FLINT RIVER NEAR OTISVILLE, MI",Stream,,04080204,530,sq mi,,,43.1111373,-83.5193965,24000,1,minutes,Interpolated from map,NAD83,721.39,feet,.01,feet,Level or other surveying method,NGVD29,US,26,049,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04147990,"BUTTERNUT CREEK AT FRANCES ROAD NEAR GENESEE, MI",Stream,,04080204,34.7,sq mi,,,43.1358593,-83.5991219,24000,1,minutes,Interpolated from map,NAD83,730,feet,10,feet,Reported,NGVD29,US,26,049,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04148139,"BLACK CREEK AT IRISH ROAD NEAR DAVISON, MI",Stream,,04080204,22.8,sq mi,,,43.0244715,-83.5560629,24000,1,minutes,Interpolated from map,NAD83,758.22,feet,10,feet,Level or other surveying method,NGVD29,US,26,049,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04148140,"KEARSLEY CREEK NEAR DAVISON, MI",Stream,,04080204,99.4,sq mi,,,43.0336381,-83.5813417,24000,1,minutes,Interpolated from map,NAD83,747.39,feet,.01,feet,Level or other surveying method,NGVD29,US,26,049,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04148142,"KEARSLEY CREEK AT BELSAY ROAD NEAR FLINT, MI",Stream,,04080204,104,sq mi,,,43.0408603,-83.5957868,24000,1,minutes,Interpolated from map,NAD83,,,,,,,US,26,049,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-0414826544,"TRIB TO LUM DRAIN ADJ SHARP RD NR SWARTZ CREEK, MI","Facility: Field, Pasture, Orchard, or Nursery",,04080204,,,,,42.9111111,-83.79,24000,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,,,,,,,US,26,049,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-0414826545,"TRIB (TILE) TO LUM DRAIN NEAR SWARTZ CREEK, MI","Facility: Field, Pasture, Orchard, or Nursery",,04080204,,,,,42.9119444,-83.7902778,24000,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,,,,,,,US,26,049,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-041482663,"ALGER CREEK AT HILL ROAD NEAR SWARTZ CREEK, MI",Stream,,04080204,19.3,sq mi,,,42.9419733,-83.8460698,24000,1,seconds,Interpolated from map,NAD83,761.5,feet,0.1,feet,Differential Global Positioning System (GPS)r,NAVD88,US,26,049,,,,20120412,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04148270,"WEST BRANCH SWARTZ CREEK NR SWARTZ CREEK, MI",Stream,,04080204,40.6,sq mi,,,42.9728056,-83.7680132,24000,1,minutes,Interpolated from map,NAD83,739.97,feet,10,feet,Level or other surveying method,NGVD29,US,26,049,,,,,,,,,NWIS
